frame,timestamp,mission_phase,active_zones,overall_health,mean_scout_speed,max_scout_speed,mean_node_speed,manual_mode,bias_x,bias_y,altitude
161,50.003,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
162,50.216,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
163,50.467,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
164,50.694,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
165,50.936,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
166,51.155,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
167,51.389,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
168,51.608,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
169,52.107,EXPLORE,8,1.000,0.600,0.600,0.599,0,0.00,0.00,3.00
170,52.303,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
171,52.510,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
172,52.722,EXPLORE,8,1.000,0.600,0.600,0.599,0,0.00,0.00,3.00
173,52.934,EXPLORE,8,1.000,0.600,0.600,0.599,0,0.00,0.00,3.00
174,53.432,EXPLORE,8,1.000,0.599,0.600,0.599,0,0.00,0.00,3.00
175,53.750,EXPLORE,8,1.000,0.599,0.600,0.600,0,0.00,0.00,3.00
176,53.940,EXPLORE,8,1.000,0.599,0.600,0.599,0,0.00,0.00,3.00
177,54.130,EXPLORE,8,1.000,0.599,0.600,0.600,0,0.00,0.00,3.00
178,54.340,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
179,54.553,EXPLORE,8,1.000,0.600,0.600,0.599,0,0.00,0.00,3.00
180,54.767,EXPLORE,8,1.000,0.600,0.600,0.599,0,0.00,0.00,3.00
181,54.985,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
182,55.199,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
183,55.419,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
184,55.634,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
185,55.853,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
186,56.067,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
187,56.286,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
188,56.499,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
189,56.864,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
190,57.360,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
191,57.588,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
192,57.820,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
193,58.039,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
194,58.251,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
195,58.464,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
196,58.674,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
197,58.886,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
198,59.112,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
199,60.032,EXPLORE,8,1.000,0.600,0.600,0.601,0,0.00,0.00,3.00
