frame,tier,agent_idx,x,y,z
17,scouts,3,-4.7488,-6.3422,3.0000
17,scouts,4,6.4505,-4.6920,3.0000
17,scouts,5,4.7965,-3.2146,3.0000
17,scouts,6,3.1859,-4.8384,3.0000
17,scouts,7,4.7488,-6.3422,3.0000
17,scouts,8,-3.5495,4.6920,3.0000
17,scouts,9,-5.2512,6.3422,3.0000
17,scouts,10,-6.8141,4.8384,3.0000
17,scouts,11,-5.2035,3.2146,3.0000
17,scouts,12,6.8141,4.8384,3.0000
17,scouts,13,5.2512,6.3422,3.0000
17,scouts,14,3.5495,4.6920,3.0000
17,scouts,15,5.2035,3.2146,3.0000
17,workers,0,-3.0000,-5.0000,3.0000
17,workers,1,7.0000,-5.0000,3.0000
17,workers,2,-3.0000,5.0000,3.0000
17,workers,3,7.0000,5.0000,3.0000
18,general,0,0.0000,0.0000,5.0000
18,nodes,0,-4.8836,-4.8765,3.0000
18,nodes,1,4.8834,-4.8765,3.0000
18,nodes,2,-5.1165,4.8765,3.0000
18,nodes,3,5.1167,4.8766,3.0000
18,scouts,0,-3.1617,-4.8257,3.0000
18,scouts,1,-4.7807,-3.1925,3.0000
18,scouts,2,-6.4466,-4.6679,3.0000
18,scouts,3,-4.7293,-6.3299,3.0000
18,scouts,4,6.4466,-4.6679,3.0000
18,scouts,5,4.7807,-3.1925,3.0000
18,scouts,6,3.1617,-4.8257,3.0000
18,scouts,7,4.7293,-6.3299,3.0000
18,scouts,8,-3.5534,4.6679,3.0000
18,scouts,9,-5.2707,6.3299,3.0000
18,scouts,10,-6.8383,4.8257,3.0000
18,scouts,11,-5.2193,3.1925,3.0000
18,scouts,12,6.8383,4.8257,3.0000
18,scouts,13,5.2707,6.3299,3.0000
18,scouts,14,3.5534,4.6679,3.0000
18,scouts,15,5.2193,3.1925,3.0000
18,workers,0,-3.0000,-5.0000,3.0000
18,workers,1,7.0000,-5.0000,3.0000
18,workers,2,-3.0000,5.0000,3.0000
18,workers,3,7.0000,5.0000,3.0000
19,general,0,0.0000,0.0000,5.0000
19,nodes,0,-4.8761,-4.8684,3.0000
19,nodes,1,4.8759,-4.8685,3.0000
19,nodes,2,-5.1240,4.8685,3.0000
19,nodes,3,5.1242,4.8685,3.0000
19,scouts,0,-3.1373,-4.8130,3.0000
19,scouts,1,-4.7647,-3.1702,3.0000
19,scouts,2,-6.4426,-4.6436,3.0000
19,scouts,3,-4.7096,-6.3175,3.0000
19,scouts,4,6.4426,-4.6436,3.0000
19,scouts,5,4.7647,-3.1702,3.0000
19,scouts,6,3.1373,-4.8130,3.0000
19,scouts,7,4.7096,-6.3175,3.0000
19,scouts,8,-3.5574,4.6436,3.0000
19,scouts,9,-5.2904,6.3175,3.0000
19,scouts,10,-6.8627,4.8130,3.0000
19,scouts,11,-5.2353,3.1702,3.0000
19,scouts,12,6.8627,4.8130,3.0000
19,scouts,13,5.2904,6.3175,3.0000
19,scouts,14,3.5574,4.6436,3.0000
19,scouts,15,5.2353,3.1702,3.0000
19,workers,0,-3.0000,-5.0000,3.0000
19,workers,1,7.0000,-5.0000,3.0000
19,workers,2,-3.0000,5.0000,3.0000
19,workers,3,7.0000,5.0000,3.0000
20,general,0,0.0000,0.0000,5.0000
20,nodes,0,-4.8686,-4.8604,3.0000
20,nodes,1,4.8683,-4.8605,3.0000
20,nodes,2,-5.1315,4.8605,3.0000
20,nodes,3,5.1317,4.8604,3.0000
20,scouts,0,-3.1128,-4.8002,3.0000
20,scouts,1,-4.7486,-3.1478,3.0000
20,scouts,2,-6.4386,-4.6190,3.0000
20,scouts,3,-4.6897,-6.3050,3.0000
20,scouts,4,6.4386,-4.6190,3.0000
20,scouts,5,4.7486,-3.1478,3.0000
20,scouts,6,3.1127,-4.8002,3.0000
20,scouts,7,4.6897,-6.3050,3.0000
20,scouts,8,-3.5614,4.6190,3.0000
20,scouts,9,-5.3103,6.3050,3.0000
20,scouts,10,-6.8873,4.8002,3.0000
20,scouts,11,-5.2514,3.1478,3.0000
20,scouts,12,6.8873,4.8001,3.0000
20,scouts,13,5.3103,6.3050,3.0000
20,scouts,14,3.5614,4.6190,3.0000
20,scouts,15,5.2514,3.1478,3.0000
20,workers,0,-3.0000,-5.0000,3.0000
20,workers,1,7.0000,-5.0000,3.0000
20,workers,2,-3.0000,5.0000,3.0000
20,workers,3,7.0000,5.0000,3.0000
21,general,0,0.0000,0.0000,5.0000
21,nodes,0,-4.8611,-4.8522,3.0000
21,nodes,1,4.8608,-4.8523,3.0000
21,nodes,2,-5.1390,4.8524,3.0000
21,nodes,3,5.1393,4.8524,3.0000
21,scouts,0,-3.0881,-4.7872,3.0000
21,scouts,1,-4.7324,-3.1253,3.0000
21,scouts,2,-6.4346,-4.5943,3.0000
21,scouts,3,-4.6697,-6.2924,3.0000
21,scouts,4,6.4346,-4.5943,3.0000
21,scouts,5,4.7324,-3.1253,3.0000
21,scouts,6,3.0881,-4.7872,3.0000
21,scouts,7,4.6697,-6.2924,3.0000
21,scouts,8,-3.5654,4.5943,3.0000
21,scouts,9,-5.3303,6.2924,3.0000
21,scouts,10,-6.9119,4.7872,3.0000
21,scouts,11,-5.2676,3.1253,3.0000
21,scouts,12,6.9119,4.7872,3.0000
21,scouts,13,5.3303,6.2924,3.0000
21,scouts,14,3.5654,4.5943,3.0000
21,scouts,15,5.2676,3.1253,3.0000
21,workers,0,-3.0000,-5.0000,3.0000
21,workers,1,7.0000,-5.0000,3.0000
21,workers,2,-3.0000,5.0000,3.0000
21,workers,3,7.0000,5.0000,3.0000
22,general,0,0.0000,0.0000,5.0000
22,nodes,0,-4.8535,-4.8441,3.0000
22,nodes,1,4.8532,-4.8442,3.0000
22,nodes,2,-5.1465,4.8443,3.0000
22,nodes,3,5.1470,4.8442,3.0000
22,scouts,0,-3.0633,-4.7742,3.0000
22,scouts,1,-4.7160,-3.1027,3.0000
22,scouts,2,-6.4306,-4.5694,3.0000
22,scouts,3,-4.6495,-6.2798,3.0000
22,scouts,4,6.4306,-4.5694,3.0000
22,scouts,5,4.7160,-3.1027,3.0000
22,scouts,6,3.0633,-4.7742,3.0000
22,scouts,7,4.6495,-6.2798,3.0000
22,scouts,8,-3.5694,4.5694,3.0000
22,scouts,9,-5.3505,6.2798,3.0000
22,scouts,10,-6.9367,4.7742,3.0000
22,scouts,11,-5.2839,3.1027,3.0000
22,scouts,12,6.9367,4.7742,3.0000
22,scouts,13,5.3505,6.2798,3.0000
22,scouts,14,3.5694,4.5694,3.0000
22,scouts,15,5.2839,3.1027,3.0000
22,workers,0,-3.0000,-5.0000,3.0000
22,workers,1,7.0000,-5.0000,3.0000
22,workers,2,-3.0000,5.0000,3.0000
22,workers,3,7.0000,5.0000,3.0000
23,general,0,0.0000,0.0000,5.0000
23,nodes,0,-4.8459,-4.8359,3.0000
23,nodes,1,4.8455,-4.8361,3.0000
23,nodes,2,-5.1541,4.8361,3.0000
23,nodes,3,5.1546,4.8360,3.0000
23,scouts,0,-3.0384,-4.7611,3.0000
23,scouts,1,-4.6997,-3.0800,3.0000
23,scouts,2,-6.4265,-4.5444,3.0000
23,scouts,3,-4.6293,-6.2670,3.0000
23,scouts,4,6.4265,-4.5444,3.0000
23,scouts,5,4.6997,-3.0800,3.0000
